time_s,on_cts_norm,off_cts_norm,cts_norm,off_lsr_pwr_V,on_lsr_pwr_V,off_ref_cts_norm,on_ref_cts_norm,task,cal_no_mfc,cell_flow,seed_laser_t
3784123521.242,141.6862697761341,13.185951233787968,11565.028668811154,0.14997,0.6210271428571429,48.85675200312683,414.93260210958755,0.0,0.952929675579,11.4974356079,24.4010925293
3784123521.342,135.57102149049572,20.019908420886793,10399.600176264803,0.145785,0.6196728571428572,26.295030239284774,436.75158942474576,0.0,1.0478515625,11.5007711601,24.4010925293
3784123521.442,145.47891692817097,0.0,13093.102523535388,0.14293,0.6174214285714286,30.613351309296363,413.27382418598546,0.0,1.0478515625,11.5007711601,24.4010925293
3784123521.542,146.10008994778462,10.242277715450593,12227.203100910063,0.14580500000000002,0.6179899999999999,37.30221547759374,429.435376561978,0.0,1.0478515625,11.5024401474,24.4010925293
3784123521.642,137.43020389384324,13.197302921682052,11180.961087494507,0.14791500000000002,0.6208585714285714,9.988678138264225,430.31937591571693,0.0,1.0478515625,11.5024401474,24.4010925293
3784123521.742,147.31357489718386,6.738998584810298,12651.71186811362,0.14835500000000001,0.6191000000000001,43.806671288732794,435.33455166949585,0.0,1.0478515625,11.5091088295,24.3980407715
3784123521.842,139.0609679290249,6.420545746388443,11937.63799643728,0.15001,0.6149700000000001,32.102728731942214,420.70769286451775,0.0,1.0478515625,11.5091088295,24.3980407715
3784123521.942,152.7773362414494,9.945630552977057,12854.85351196251,0.147765,0.61663,50.14808091552236,432.64053973107355,0.0,0.986914098263,11.5007711601,24.3980407715
3784123522.042,144.9090989625859,6.644959797993222,12443.772524813341,0.1503,0.6171214285714285,29.927551434483295,414.59350808259114,0.0,0.986914098263,11.5007711601,24.3980407715
3784123522.142,145.76983653240634,13.327490830498729,11919.811113171687,0.15027000000000001,0.6115742857142857,22.70892865124192,428.18523506728707,0.0,0.986914098263,11.4941000557,24.4007263184
3784123522.242,148.78181054552041,9.98400988598434,12491.802059358248,0.15059499999999998,0.6115171428571429,40.07428069842166,410.1366254181534,0.0,0.986914098263,11.4941000557,24.4007263184
3784123522.342,155.4182184059676,0.0,13987.639656537083,0.150645,0.6061500000000001,12.956955349932809,420.38921306540044,0.0,0.986914098263,11.4924334908,24.4007263184
3784123522.442,151.36945606354968,3.274823159549384,13328.516961360026,0.14615,0.6056557142857144,33.667208614482135,446.21451062271484,0.0,0.986914098263,11.4924334908,24.4007263184
3784123522.542,151.50960103693842,16.609088493223492,12141.046128934344,0.14560499999999998,0.6050742857142858,30.12845444721431,414.37161632384397,0.0,0.975195348263,11.4974356079,24.4007263184
3784123522.642,162.27038712106113,0.0,14604.3348408955,0.14649,0.6020357142857142,29.77723523805334,425.3484711739567,0.0,0.975195348263,11.4974356079,24.4007263184
3784123522.742,157.37482661639518,6.690305746972637,13561.60687824803,0.146755,0.6030357142857143,36.7966816083495,420.1131961255527,0.0,0.975195348263,11.5024401474,24.4000244141
3784123522.842,157.37931102481863,13.399460618906202,12958.18653653212,0.150035,0.5992871428571428,16.02692841914095,430.1036347780653,0.0,0.975195348263,11.5024401474,24.4000244141
3784123522.942,156.45233547909157,9.85006700971717,13194.204162243695,0.15156,0.6007728571428571,36.05130621703345,417.02413198303844,0.0,0.975195348263,11.5007711601,24.4000244141
3784123523.042,154.4418132384913,3.144060869018424,13616.79771325256,0.149495,0.6051928571428571,16.148692747294046,429.3491105451325,0.0,0.975195348263,11.5007711601,24.4000244141
3784123523.142,169.29646078309466,13.338668800853675,14036.201278401688,0.14582499999999998,0.6034842857142857,13.532334110696004,414.6242056420951,0.0,1.02265632153,11.4974356079,24.399230957
3784123523.242,173.1763436542894,3.293807641633729,15289.428241139012,0.14821,0.6058485714285714,33.10160524268862,440.29587409729277,0.0,1.02265632153,11.4974356079,24.399230957
3784123523.342,166.36754014170523,16.275868885022348,13508.250413101461,0.150635,0.6088114285714286,25.90545096116025,416.9049047468348,0.0,1.02265632153,11.5041067123,24.399230957
3784123523.442,176.03775101135668,23.231116421080582,13752.59711312485,0.150745,0.6065214285714287,23.231116421080582,409.9717078473181,0.0,1.02265632153,11.5041067123,24.399230957
3784123523.542,169.62065753414157,19.928906647761586,13472.2575797742,0.14763500000000002,0.6015971428571428,6.574621959237343,430.50317861078275,0.0,1.02265632153,11.4907669258,24.399230957
3784123523.642,167.0632208224117,9.987349357480525,14136.828431843805,0.15064,0.6012514285714285,36.60045038104734,426.87174655680286,0.0,1.02265632153,11.4907669258,24.399230957
3784123523.742,161.87277874065654,12.600806451612904,13434.477506013927,0.151865,0.6043242857142858,25.201612903225808,418.0826730788653,0.0,0.985546886921,11.5024401474,24.4013366699
3784123523.842,167.1980231832635,10.142673608763271,14134.981461705022,0.147285,0.5992271428571428,40.598584252039274,431.10131557713584,0.0,0.985546886921,11.5024401474,24.4013366699
3784123523.942,163.30474953649144,9.658725048293626,13828.142203937803,0.15004,0.6001585714285714,19.785331422313867,405.0219907178733,0.0,0.985546886921,11.5024401474,24.4013366699
3784123524.042,155.7470593513177,3.181066293421555,13730.939375210652,0.15106,0.60424,35.52900329182201,402.79681916938597,0.0,0.985546886921,11.5024401474,24.4013366699
